name,essround,edition,idno,cntry,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk,health,hlthhmp,rlgblg,rlgdgr,rlgatnd,dscrgrp,ctzcntr,brncntr,hhmmb,gndr,agea,yrbrn,maritalb,domicil,eduyrs,pdwrk,uempla,uempli,emplrel,wkhtot,hinctnta,hincfel,dweight,pweight
ESS9e01_1,9,1.1,17,AT,60,5,180,2,2,2,3,3,2,2,2,5,10,10,5,5,5,5,1,9,8,8,8,8,6,4,10,2,2,2,5,6,0,7,6,3,3,2,1,2,3,1,0,7,2,1,1,1,1,43,1975,4,4,12,1,0,0,1,0,3,3,0.5811743124681212,0.302091437
ESS9e01_1,9,1.1,31,AT,60,1,NA,2,4,7,3,2,2,2,1,5,7,8,3,3,2,2,1,3,9,5,5,6,8,8,2,2,3,3,6,5,5,8,6,5,4,2,1,3,2,1,9,3,2,1,1,1,2,85,1933,5,4,8,0,0,0,1,38,2,1,0.4108158841292952,0.302091437
ESS9e01_1,9,1.1,58,AT,60,5,240,7,6,7,3,2,2,2,1,5,7,7,5,5,5,5,1,3,9,6,4,5,8,8,5,2,2,3,5,6,6,10,7,3,3,2,1,1,3,1,6,3,2,1,1,4,1,31,1987,1,3,11,1,0,0,1,39,8,2,1.044895391528941,0.302091437
ESS9e01_1,9,1.1,69,AT,20,4,60,5,6,4,4,2,NA,2,NA,2,3,4,2,2,2,2,2,4,8,6,6,7,6,6,2,4,4,4,2,1,2,7,4,3,3,2,1,1,3,1,6,5,2,1,1,1,2,49,1969,6,4,12,1,0,0,1,42,NA,2,0.959362716950381,0.302091437
ESS9e01_1,9,1.1,98,AT,10,5,20,7,8,7,2,3,2,3,2,7,8,8,3,4,5,2,1,5,8,8,7,8,7,8,5,2,3,3,5,4,5,8,6,3,3,2,2,2,3,1,5,7,2,1,1,2,1,67,1951,1,4,12,0,0,0,1,40,5,2,1.0627724226922433,0.302091437
ESS9e01_1,9,1.1,145,AT,45,5,120,3,9,5,3,2,2,3,1,0,5,8,3,3,0,2,1,NA,8,6,8,6,7,8,2,2,3,3,3,7,5,8,6,3,3,2,1,2,3,2,1,6,2,1,1,3,1,63,1955,1,4,11,1,0,0,2,30,6,2,0.9933992937989825,0.302091437
ESS9e01_1,9,1.1,153,AT,30,1,NA,5,8,4,2,1,1,1,3,7,8,8,7,7,5,5,1,5,8,7,7,7,7,10,0,3,3,3,5,3,5,8,5,4,3,2,2,4,1,1,8,3,2,1,1,1,2,71,1947,5,4,8,0,0,0,2,80,1,2,0.37735338391836865,0.302091437
ESS9e01_1,9,1.1,179,AT,45,2,NA,8,7,6,2,2,2,3,2,6,5,7,5,5,4,6,1,3,9,9,6,7,6,7,3,2,2,2,6,7,5,9,6,4,3,2,1,1,3,1,6,5,2,1,1,2,1,64,1954,1,4,13,0,0,0,1,50,5,1,1.4793527953733996,0.302091437
ESS9e01_1,9,1.1,208,AT,60,1,NA,6,1,3,4,2,2,3,2,0,5,5,0,0,3,0,2,3,10,1,3,3,9,1,4,1,2,2,6,4,5,8,6,1,5,2,2,4,1,1,8,6,2,1,1,2,1,56,1962,1,4,12,1,0,0,1,45,7,2,0.9917577192813332,0.302091437
ESS9e01_1,9,1.1,215,AT,30,1,NA,7,7,7,3,1,1,1,2,5,7,7,3,3,1,5,1,7,6,7,7,3,5,5,0,2,3,4,2,2,2,5,6,3,3,2,2,4,1,1,3,6,2,1,1,1,2,74,1944,5,3,11,0,0,0,2,60,2,2,0.3098590512938626,0.302091437
ESS9e01_1,9,1.1,218,AT,15,5,300,10,4,4,4,2,1,1,1,5,10,10,5,5,7,7,3,4,6,7,5,8,8,7,4,2,3,3,2,7,4,7,4,4,3,2,2,1,3,1,8,5,1,2,2,4,2,28,1990,1,3,13,0,0,0,1,40,NA,NA,1.079137560561834,0.302091437
ESS9e01_1,9,1.1,296,AT,120,1,NA,10,9,10,2,5,5,5,5,6,10,10,10,10,10,10,1,2,10,10,10,10,9,10,10,1,1,1,10,10,10,10,4,3,3,2,1,2,3,2,0,7,2,1,1,1,1,48,1970,4,4,12,1,0,0,1,45,4,1,0.4261578055124513,0.302091437
ESS9e01_1,9,1.1,315,AT,60,5,NA,8,8,6,2,3,3,3,4,7,8,6,5,5,9,8,1,3,8,5,2,7,4,6,8,2,2,2,6,8,5,8,6,4,3,2,1,2,2,2,8,6,2,1,1,2,2,59,1959,1,4,12,0,0,0,2,25,9,1,0.9917577192813332,0.302091437
ESS9e01_1,9,1.1,330,AT,90,1,NA,5,7,4,1,4,3,3,3,6,3,8,3,0,0,8,1,5,10,6,8,3,5,8,2,2,2,2,3,3,4,10,5,1,3,1,1,3,3,1,5,6,2,1,1,2,1,77,1941,1,1,12,0,0,0,1,45,3,2,1.1061352032414455,0.302091437
