variable,label,values
name,Title of dataset,NA
essround,ESS round,NA
edition,Edition,NA
idno,Respondent's identification number,NA
cntry,Country,NA
nwspol,"News about politics and current affairs, watching, reading or listening, in min",NA
netusoft,"Internet use, how often",1 = Never; 2 = Only occasionally; 3 = A few times a week; 4 = Most days; 5 = Every day
netustm,"Internet use, how much time on typical day, in minutes",NA
ppltrst,Most people can be trusted or you can't be too careful,0 = You can't be too careful; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Most people can be trusted
pplfair,"Most people try to take advantage of you, or try to be fair",0 = Most people try to take advantage of me; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Most people try to be fair
pplhlp,Most of the time people helpful or mostly looking out for themselves,0 = People mostly look out for themselves; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = People mostly try to be helpful
polintr,How interested in politics,1 = Very interested; 2 = Quite interested; 3 = Hardly interested; 4 = Not at all interested
psppsgva,Political system allows people to have a say in what government does,1 = Not at all; 2 = Very little; 3 = Some; 4 = A lot; 5 = A great deal
actrolga,Able to take active role in political group,1 = Not at all able; 2 = A little able; 3 = Quite able; 4 = Very able; 5 = Completely able
psppipla,Political system allows people to have influence on politics,1 = Not at all; 2 = Very little; 3 = Some; 4 = A lot; 5 = A great deal
cptppola,Confident in own ability to participate in politics,1 = Not at all confident; 2 = A little confident; 3 = Quite confident; 4 = Very confident; 5 = Completely confident
trstprl,Trust in country's parliament,0 = No trust at all; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Complete trust
trstlgl,Trust in the legal system,0 = No trust at all; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Complete trust
trstplc,Trust in the police,0 = No trust at all; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Complete trust
trstplt,Trust in politicians,0 = No trust at all; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Complete trust
trstprt,Trust in political parties,0 = No trust at all; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Complete trust
trstep,Trust in the European Parliament,0 = No trust at all; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Complete trust
trstun,Trust in the United Nations,0 = No trust at all; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Complete trust
vote,Voted last national election,1 = Yes; 2 = No; 3 = Not eligible to vote
lrscale,Placement on left right scale,0 = Left; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Right
stflife,How satisfied with life as a whole,0 = Extremely dissatisfied; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Extremely satisfied
stfeco,How satisfied with present state of economy in country,0 = Extremely dissatisfied; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Extremely satisfied
stfgov,How satisfied with the national government,0 = Extremely dissatisfied; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Extremely satisfied
stfdem,How satisfied with the way democracy works in country,0 = Extremely dissatisfied; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Extremely satisfied
