"$submission_id";"$created";"Hvor mange ganger har du tatt eksamen i MAT2400 tidligere?";"Hvordan gjennomfører du MAT2400 dette semesteret?";"Hvor mange studiepoeng har du til hensikt å ta dette semesteret?";"I hvilket semester av studieprogrammet er du?";"";"";"";"";"";"Har du noen andre/utfyllende kommentarer til organiseringen av kurset?";"Kommer på forelesningene";"Regner ukesoppgavene";"Regner gamle eksamensoppgaver";"Følger med på semestersidene";"";"Er det noe annet du føler har hjulpet deg til å lære i emnet?";"";"";"";"Har du noen andre/utfyllende kommentarer til forelesningene?";"";"";"";"Har du noen andre/utfyllende kommentarer til de obligatoriske oppgavene?";"";"";"Har du noen andre/utfyllende kommentarer til eksamen? Forslag til endringer?";"$answer_time_ms"
"46315102";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"31-40";"2";"Godt";"Vanskelig";"Passe";"11 - 15";"Bra";"";"Alltid";"Av og til";"Av og til";"Ofte ";"Bra";"";"Svært bra";"Hverken";"Bra";"";"Relevant";"Passe";"Hverken";"";"Bra";"Vanskelig";"";"125099"
"46315117";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"31-40";"2";"Svært godt";"Svært vanskelig";"Svært mye";"11 - 15";"Svært bra";"";"Alltid";"Av og til";"Ofte ";"Alltid";"Hverken";"";"Svært bra";"Mye";"Svært bra";"";"Relevant";"Svært vanskelig";"Nyttig";"";"Bra";"Vanskelig";"";"133723"
"46315181";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"21-30";"4";"Godt";"Vanskelig";"Passe";"6 - 10";"Bra";"Vanskelig, men på en bra måte!";"Alltid";"Alltid";"Alltid";"Ofte ";"Svært bra";"";"Svært bra";"Svært mye";"Svært bra";"";"Hverken";"Passe";"Nyttig";"";"Svært bra";"Passe";"";"168871"
"46315320";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"Mer enn 50";"2";"Svært godt";"Vanskelig";"Passe";"11 - 15";"Svært bra";"";"Alltid";"Alltid";"Ofte ";"Ofte ";"Svært bra";"";"Svært bra";"Svært lite";"Bra";"";"Svært relevant";"Passe";"Svært nyttig";"";"Svært bra";"Vanskelig";"";"83710"
"46315540";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"41-50";"2";"Godt";"Vanskelig";"Passe";"6 - 10";"Svært bra";"";"Ofte ";"Alltid";"Alltid";"Alltid";"Bra";"";"Svært bra";"Mye";"Bra";"";"Relevant";"Passe";"Nyttig";"";"Svært bra";"Vanskelig";"";"94909"
"46316779";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"31-40";"4";"Godt";"Svært vanskelig";"Svært mye";"11 - 15";"Svært bra";"Kjempebra lagt opp, veldig oversiktlig, lett å finne frem til alt";"Alltid";"Ofte ";"Alltid";"Alltid";"Bra";"";"Svært bra";"Hverken";"Bra";"";"Hverken";"Vanskelig";"Hverken";"";"Hverken";"Svært vanskelig";"For eksempel oppgave 5, var litt rart å ikke skrive F(r)(t) isteden for å skrive t-> osv. Virket som litt unødvendig vanskeligere notasjon";"189683"
"46317061";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"21-30";"2";"Svært godt";"Vanskelig";"Passe";"16 - 20";"Svært bra";"";"Ofte ";"Alltid";"Av og til";"Alltid";"Dårlig";"";"Svært bra";"Mye";"Bra";"";"Hverken";"Passe";"Svært nyttig";"";"Bra";"Vanskelig";"Jeg tror ikke vi gikk gjennom at rekker kunne behandles som vanlige summer ved uniform konvergens, men det kan hende at jeg tar feil.";"361120"
"46317083";"2026-06-18T00:00:00+02:00";"1";"Følger undervisning og tar eksamen";"31-40";"4";"Godt";"Svært vanskelig";"Mye";"11 - 15";"Svært bra";"";"Alltid";"Alltid";"Alltid";"Alltid";"Bra";"";"Svært bra";"Svært mye";"Bra";"";"Svært relevant";"Vanskelig";"Nyttig";"";"Bra";"Svært vanskelig";"";"255767"
"46317147";"2026-06-18T00:00:00+02:00";"0";"Følger ikke undervisning, men tar eksamen";"Mer enn 50";"Er ikke programstudent eller følger ikke vanlig studieprogresjon";"Godt";"Vanskelig";"Passe";"0 - 5";"Bra";"";"Aldri ";"Ofte ";"Ofte ";"Alltid";"Hverken";"";"Hverken";"Hverken";"Hverken";"Kan ikke svare her som enkeltemnestudent som bor borte";"Relevant";"Vanskelig";"Nyttig";"";"Hverken";"Vanskelig";"";"141228"
"46319011";"2026-06-18T00:00:00+02:00";"1";"Følger undervisning og tar eksamen";"21-30";"Er ikke programstudent eller følger ikke vanlig studieprogresjon";"Svært godt";"Vanskelig";"Passe";"6 - 10";"Svært bra";"";"Av og til";"Ofte ";"Ofte ";"Alltid";"Svært bra";"";"Svært bra";"Svært mye";"Svært bra";"";"Relevant";"Vanskelig";"Nyttig";"";"Bra";"Svært vanskelig";"Selv om eksamen var vanskelig har jeg fått inntrykk av at dette ble tatt hensyn til i sensuren. Synes at det derfor ikke er negativt at eksamen var vanskelig";"326320"
"46319194";"2026-06-18T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"21-30";"4";"Godt";"Vanskelig";"Passe";"11 - 15";"Svært bra";"Synes forelesningene var gode og det var lett å følge med. Følte derimot det manglet litt i noen av gruppetimene, da jeg ikke fikk like utfyllende svar som jeg hadde ønsket.";"Alltid";"Alltid";"Alltid";"Alltid";"Bra";"";"Svært bra";"Svært mye";"Svært bra";"";"Hverken";"Vanskelig";"Nyttig";"";"Dårlig";"Vanskelig";"";"434090"
"46319572";"2026-06-19T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"41-50";"4";"Svært godt";"Svært vanskelig";"Mye";"11 - 15";"Svært bra";"";"Ofte ";"Ofte ";"Alltid";"Alltid";"Bra";"";"Svært bra";"Svært mye";"Svært bra";"";"Svært relevant";"Svært vanskelig";"Lite nyttig";"";"Svært bra";"Passe";"";"114869"
"46321030";"2026-06-19T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"31-40";"4";"Godt";"Svært vanskelig";"Svært mye";"11 - 15";"Bra";"";"Alltid";"Ofte ";"Ofte ";"Alltid";"Svært bra";"";"Bra";"Hverken";"Bra";"";"Relevant";"Svært vanskelig";"Hverken";"";"Bra";"Svært vanskelig";"Veldig mange oppgaver";"142976"
"46323628";"2026-06-19T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"21-30";"4";"Svært godt";"Vanskelig";"Mye";"11 - 15";"Svært bra";"";"Alltid";"Alltid";"Alltid";"Ofte ";"Bra";"Jeg opplevde at litt tidligere erfaring med mendgelære hjalp meg betydelig på målteorien sammenlignet med andre som ikke har hatt det";"Svært bra";"Svært mye";"Bra";"Jeg setter virkelig pris på oppsummeringen fra sist du skriver på venstre siden av tavlene! Det gjør det betydelig lettere å følge med på det som er nytt fremfor å stusse på noe som man kanskje ikke helt husker fra sist.";"Svært relevant";"Vanskelig";"Lite nyttig";"";"Bra";"Vanskelig";"Mange morsomme oppgaver! Dog kanskje én for mange av de ""morsomme"" i min personlige mening. Men alt i alt opplevdes det som en relativt r ettferdig, men vanskelig eksamen.";"849079"
"46323946";"2026-06-19T00:00:00+02:00";"0";"Følger undervisning og tar eksamen";"41-50";"2";"Svært godt";"Vanskelig";"Mye";"11 - 15";"Svært bra";"";"Alltid";"Alltid";"Alltid";"Alltid";"Svært bra";"Det å snakke og jobbe om/med faget med andre hjalp meg enormt mye";"Svært bra";"Hverken";"";"";"Relevant";"Vanskelig";"Nyttig";"";"Svært bra";"Passe";"";"135274"
"46324524";"2026-06-19T00:00:00+02:00";"1";"Følger ikke undervisning, men tar eksamen";"21-30";"6";"Godt";"Vanskelig";"Mye";"11 - 15";"Svært bra";"Ulrik er ekstremt flink, legger ut god mengde oppgaver, notater og obligene er gode. Eksamen føles og rettferdig, ikke lett/vanskelig men rettferdig. 10/10";"Aldri ";"Alltid";"Alltid";"Alltid";"Bra";"";"Hverken";"Svært mye";"Hverken";"";"Svært relevant";"Passe";"Svært nyttig";"";"Svært bra";"Vanskelig";"Er ikke til unngå at en eksamen i reell analyse oppleves som vanskelig, tror jeg";"274755"
"46328939";"2026-06-20T00:00:00+02:00";"1";"Følger undervisning og tar eksamen";"21-30";"Er ikke programstudent eller følger ikke vanlig studieprogresjon";"Svært godt";"Vanskelig";"Mye";"21&#43;";"Svært bra";"";"Alltid";"Alltid";"Alltid";"Alltid";"Svært bra";"";"Svært bra";"Hverken";"Svært bra";"De er veldig gode. Ulrik forsvarer absolutt tittelen som årets foreleser";"Svært relevant";"Passe";"Lite nyttig";"Fikk tilbakemelding om at alt var bra, men hadde bl.a. gjort den vanlige feilen med middelverditeoremet (som ikke holder i R^n når n>1) som ble nevnt på forelesning. Det gjorde meg usikker på hvor mye jeg skal legge i tilbakemeldingen jeg fikk.";"Svært bra";"Passe";"Det var en rettferdig eksamen der man fikk brukt en stor andel av pensum.";"678630"
"46362264";"2026-06-25T00:00:00+02:00";"0";"Følger ikke undervisning, men tar eksamen";"31-40";"4";"Godt";"Svært vanskelig";"Mye";"0 - 5";"Svært bra";"";"Sjelden";"Av og til";"Sjelden";"Alltid";"Dårlig";"";"Bra";"Mye";"Bra";"";"Hverken";"Vanskelig";"Hverken";"";"Bra";"Vanskelig";"";"158725"
