contestant,total_score,jury_score,televote_score,Sweden,Azerbaijan,Malta,Netherlands,Slovenia,Armenia,Luxembourg,San Marino,Ukraine,Norway,Austria,France,Italy,Portugal,Denmark,Croatia,Latvia,Ireland,Poland,Montenegro,Greece,Serbia,Czechia,United Kingdom,Spain,Finland,Australia,Germany,Belgium,Israel,Albania,Lithuania,Iceland,Georgia,Cyprus,Estonia,Switzerland
Norway,89,22,67,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA
Luxembourg,47,23,24,NA,NA,NA,6,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
Estonia,356,98,258,NA,7,3,NA,7,2,3,7,5,4,3,NA,10,3,NA,5,1,NA,NA,NA,NA,3,NA,3,NA,4,3,NA,10,NA,NA,7,3,NA,NA,NA,5
Israel,357,60,297,NA,12,NA,5,NA,NA,1,NA,2,NA,NA,7,NA,NA,3,6,NA,7,NA,NA,1,NA,NA,NA,NA,2,NA,3,NA,NA,5,NA,NA,1,5,NA,NA
Lithuania,96,34,62,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,6,3,NA,NA,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,37,27,10,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
Ukraine,218,60,158,5,8,NA,NA,5,4,NA,4,NA,1,NA,NA,2,8,2,2,NA,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,4,NA,2,NA,6,NA,NA,1
United Kingdom,88,88,0,NA,NA,NA,NA,NA,NA,6,2,10,7,7,NA,12,2,4,NA,NA,2,1,NA,NA,NA,10,NA,6,5,NA,NA,NA,NA,NA,NA,5,NA,NA,5,4
Austria,436,258,178,12,NA,7,12,10,8,10,NA,1,12,NA,4,NA,6,5,10,12,12,7,8,10,8,NA,8,7,12,7,12,12,6,7,4,8,NA,7,7,7
Iceland,33,0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,158,116,42,NA,NA,NA,3,NA,1,2,8,6,6,4,NA,NA,7,12,7,NA,NA,NA,NA,NA,1,NA,12,NA,NA,10,NA,7,7,NA,12,NA,8,NA,3,NA
Netherlands,175,133,42,8,3,NA,NA,4,3,7,NA,NA,5,2,3,NA,5,NA,NA,NA,10,10,2,8,NA,7,NA,10,NA,NA,NA,3,NA,3,8,10,7,8,1,6
Finland,196,88,108,6,NA,6,NA,NA,10,NA,NA,NA,8,12,NA,1,NA,6,NA,10,4,NA,NA,NA,NA,NA,5,NA,NA,2,NA,4,NA,NA,NA,1,NA,NA,10,3
